time,total_energy
1.339999999999989022e+01,-1.617265822343705395e+03
1.343999999999988937e+01,-1.620489538823966996e+03
1.347999999999988852e+01,-1.623713691204872021e+03
1.351999999999988766e+01,-1.626942640618270389e+03
1.355999999999988681e+01,-1.630180267224251793e+03
1.359999999999988596e+01,-1.633429580176654781e+03
1.363999999999988511e+01,-1.636692410464082286e+03
1.367999999999988425e+01,-1.639969218076114885e+03
1.371999999999988340e+01,-1.643259035633795065e+03
1.375999999999988255e+01,-1.646559558090135170e+03
1.379999999999988169e+01,-1.649867373056843007e+03
1.383999999999988084e+01,-1.653178310313199518e+03
1.387999999999987999e+01,-1.656487874383767121e+03
1.391999999999987914e+01,-1.659791713246760992e+03
1.395999999999987828e+01,-1.663086071324804379e+03
1.399999999999987743e+01,-1.666368176923082046e+03
1.403999999999987658e+01,-1.669636522840267162e+03
1.407999999999987573e+01,-1.672891012341793385e+03
1.411999999999987487e+01,-1.676132958637780348e+03
1.415999999999987402e+01,-1.679364941946765384e+03
1.419999999999987317e+01,-1.682590542154392324e+03
1.423999999999987232e+01,-1.685813975840862440e+03
1.427999999999987146e+01,-1.689039673723930946e+03
1.431999999999987061e+01,-1.692271838569348802e+03
1.435999999999986976e+01,-1.695514024744529252e+03
1.439999999999986890e+01,-1.698768779046768941e+03
1.443999999999986805e+01,-1.702037378128655519e+03
1.447999999999986720e+01,-1.705319690459596359e+03
1.451999999999986635e+01,-1.708614180089653928e+03
1.455999999999986549e+01,-1.711918055790705921e+03
1.459999999999986464e+01,-1.715227553504106936e+03
1.463999999999986379e+01,-1.718538324319696812e+03
1.467999999999986294e+01,-1.721845886892476756e+03
1.471999999999986208e+01,-1.725146094669830063e+03
1.475999999999986123e+01,-1.728435566233591544e+03
1.479999999999986038e+01,-1.731712031900272905e+03
1.483999999999985953e+01,-1.734974560529333530e+03
1.487999999999985867e+01,-1.738223645235884078e+03
1.491999999999985782e+01,-1.741461142870167578e+03
1.495999999999985697e+01,-1.744690077374717930e+03
1.499999999999985612e+01,-1.747914329803184501e+03
1.503999999999985526e+01,-1.751138247092010943e+03
1.507999999999985441e+01,-1.754366207557702865e+03
1.511999999999985356e+01,-1.757602183877326979e+03
1.515999999999985270e+01,-1.760849344334789521e+03
1.519999999999985185e+01,-1.764109730465483153e+03
1.523999999999985100e+01,-1.767384043693771901e+03
1.527999999999985015e+01,-1.770671564823855306e+03
1.531999999999984929e+01,-1.773970218259854619e+03
1.535999999999984844e+01,-1.777276778177842743e+03
1.539999999999984759e+01,-1.780587197974158244e+03
1.543999999999984674e+01,-1.783897029342044334e+03
1.547999999999984588e+01,-1.787201885779944632e+03
1.551999999999984503e+01,-1.790497899372638358e+03
1.555999999999984418e+01,-1.793782120512573783e+03
1.559999999999984333e+01,-1.797052817699458046e+03
1.563999999999984247e+01,-1.800309647230212249e+03
1.567999999999984162e+01,-1.803553678167042563e+03
1.571999999999984077e+01,-1.806787273945321203e+03
1.575999999999983991e+01,-1.810013846268645239e+03
1.579999999999983906e+01,-1.813237508240327315e+03
1.583999999999983821e+01,-1.816462661543497234e+03
1.587999999999983736e+01,-1.819693557044361341e+03
1.591999999999983650e+01,-1.822933869822030147e+03
1.595999999999983565e+01,-1.826186328568058116e+03
1.599999999999983480e+01,-1.829452435498171326e+03
1.603999999999983572e+01,-1.832732306093537090e+03
1.607999999999983487e+01,-1.836024647893251313e+03
1.611999999999983402e+01,-1.839326884372236236e+03
1.615999999999983316e+01,-1.842635414583593274e+03
1.619999999999983231e+01,-1.845945983484377393e+03
1.623999999999983146e+01,-1.849254124065792894e+03
1.627999999999983061e+01,-1.852555623001319645e+03
1.631999999999982975e+01,-1.855846958326715367e+03
1.635999999999982890e+01,-1.859125661332895788e+03
1.639999999999982805e+01,-1.862390564675183668e+03
1.643999999999982720e+01,-1.865641912820512516e+03
1.647999999999982634e+01,-1.868881326916434773e+03
1.651999999999982549e+01,-1.872111631592168578e+03
1.655999999999982464e+01,-1.875336564318891533e+03
1.659999999999982379e+01,-1.878560397832801527e+03
1.663999999999982293e+01,-1.881787512586008916e+03
1.667999999999982208e+01,-1.885021959510182796e+03
1.671999999999982123e+01,-1.888267053895550589e+03
1.675999999999982037e+01,-1.891525039028315632e+03
1.679999999999981952e+01,-1.894796853223005428e+03
1.683999999999981867e+01,-1.898082025726251686e+03
1.687999999999981782e+01,-1.901378715545817386e+03
1.691999999999981696e+01,-1.904683893038699807e+03
1.695999999999981611e+01,-1.907993648354637344e+03
1.699999999999981526e+01,-1.911303595634007479e+03
1.703999999999981441e+01,-1.914609329659370360e+03
1.707999999999981355e+01,-1.917906884699329112e+03
1.711999999999981270e+01,-1.921193144937212992e+03
1.715999999999981185e+01,-1.924466162230790587e+03
1.719999999999981100e+01,-1.927725348771501103e+03
1.723999999999981014e+01,-1.930971527331150128e+03
1.727999999999980929e+01,-1.934206837717634471e+03
1.731999999999980844e+01,-1.937434512645937502e+03
1.735999999999980759e+01,-1.940658548040363257e+03
1.739999999999980673e+01,-1.943883301226956291e+03
1.743999999999980588e+01,-1.947113055602836539e+03
1.747999999999980503e+01,-1.950351592512864272e+03
1.751999999999980417e+01,-1.953601810494276833e+03
1.755999999999980332e+01,-1.956865428756812207e+03
1.759999999999980247e+01,-1.960142805498013331e+03
1.763999999999980162e+01,-1.963432892142192713e+03
1.767999999999980076e+01,-1.966733331935391789e+03
1.771999999999979991e+01,-1.970040696318826804e+03
1.775999999999979906e+01,-1.973350836766954217e+03
1.779999999999979821e+01,-1.976659315592352414e+03
1.783999999999979735e+01,-1.979961869025984470e+03
1.787999999999979650e+01,-1.983254851616693259e+03
1.791999999999979565e+01,-1.986535613523087250e+03
1.795999999999979480e+01,-1.989802771111224956e+03
1.799999999999979394e+01,-1.993056344750035123e+03
1.803999999999979309e+01,-1.996297753447079913e+03
1.807999999999979224e+01,-1.999529671594384808e+03
1.811999999999979138e+01,-2.002755766720049905e+03
1.815999999999979053e+01,-2.005980347701759456e+03
1.819999999999978968e+01,-2.009207960102411334e+03
1.823999999999978883e+01,-2.012442969341452908e+03
1.827999999999978797e+01,-2.015689173652505133e+03
1.831999999999978712e+01,-2.018949487359521981e+03
1.835999999999978627e+01,-2.022225730804740806e+03
1.839999999999978542e+01,-2.025518555995640554e+03
1.843999999999978456e+01,-2.028827526559436365e+03
1.847999999999978371e+01,-2.032151357274843349e+03
1.851999999999978286e+01,-2.035488303446385089e+03
1.855999999999978201e+01,-2.038836675631857133e+03
1.859999999999978115e+01,-2.042195443121195922e+03
1.863999999999978030e+01,-2.045564882338184589e+03
1.867999999999977945e+01,-2.048947225425635679e+03
1.871999999999977859e+01,-2.052347269801020047e+03
1.875999999999977774e+01,-2.055772920113734926e+03
1.879999999999977689e+01,-2.059235647305771636e+03
1.883999999999977604e+01,-2.062750862224302637e+03
1.887999999999977518e+01,-2.066338210183780120e+03
1.891999999999977433e+01,-2.070021794925839004e+03
1.895999999999977348e+01,-2.073830332598901805e+03
1.899999999999977263e+01,-2.077797215475825851e+03
1.903999999999977177e+01,-2.081960427385208277e+03
1.907999999999977092e+01,-2.086362194247585649e+03
1.911999999999977007e+01,-2.091048171514988098e+03
1.915999999999976922e+01,-2.096065870843852736e+03
1.919999999999976836e+01,-2.101461933670491817e+03
1.923999999999976751e+01,-2.107277823717861338e+03
1.927999999999976666e+01,-2.113543628968486246e+03
1.931999999999976581e+01,-2.120270056673849467e+03
1.935999999999976495e+01,-2.127439449297109604e+03
1.939999999999976410e+01,-2.134997648803787797e+03
1.943999999999976325e+01,-2.142849399743587583e+03
1.947999999999976239e+01,-2.150860067057810738e+03
1.951999999999976154e+01,-2.158865220572841736e+03
1.955999999999976069e+01,-2.166687224795655311e+03
1.959999999999975984e+01,-2.174155375457011814e+03
1.963999999999975898e+01,-2.181124723962571352e+03
1.967999999999975813e+01,-2.187489301137500206e+03
1.971999999999975728e+01,-2.193187592558751021e+03
1.975999999999975643e+01,-2.198200631337945197e+03
1.979999999999975557e+01,-2.202544847866787677e+03
1.983999999999975472e+01,-2.206262410835978244e+03
1.987999999999975387e+01,-2.209411423634773200e+03
1.991999999999975302e+01,-2.212057504588491156e+03
1.995999999999975216e+01,-2.214267423650855562e+03
1.999999999999975131e+01,-2.216104835522724443e+03
2.003999999999975046e+01,-2.217627795025734031e+03
2.007999999999974960e+01,-2.218887612203942354e+03
2.011999999999974875e+01,-2.219928616563777723e+03
2.015999999999974790e+01,-2.220788477439510643e+03
2.019999999999974705e+01,-2.221498821505999331e+03
2.023999999999974619e+01,-2.222085973388450384e+03
2.027999999999974534e+01,-2.222571711691474320e+03
2.031999999999974449e+01,-2.222973979968169715e+03
2.035999999999974364e+01,-2.223307523338035026e+03
2.039999999999974278e+01,-2.223584440727637229e+03
2.043999999999974193e+01,-2.223814653754344363e+03
2.047999999999974108e+01,-2.224006298984517798e+03
2.051999999999974023e+01,-2.224166052732446133e+03
2.055999999999973937e+01,-2.224299398105440559e+03
2.059999999999973852e+01,-2.224410843524189659e+03
2.063999999999973767e+01,-2.224504100995025055e+03
2.067999999999973681e+01,-2.224582231294019948e+03
2.071999999999973596e+01,-2.224647762112804230e+03
2.075999999999973511e+01,-2.224702784197288565e+03
2.079999999999973426e+01,-2.224749029618375971e+03
2.083999999999973340e+01,-2.224787935553821626e+03
2.087999999999973255e+01,-2.224820696327023597e+03
2.091999999999973170e+01,-2.224848305925677778e+03
2.095999999999973085e+01,-2.224871592797549511e+03
2.099999999999972999e+01,-2.224891248374147381e+03
2.103999999999972914e+01,-2.224907850493920250e+03
2.107999999999972829e+01,-2.224921882671315416e+03
2.111999999999972744e+01,-2.224933749976637955e+03
2.115999999999972658e+01,-2.224943792145947555e+03
2.119999999999972573e+01,-2.224952294422887917e+03
2.123999999999972488e+01,-2.224959496539925112e+03
2.127999999999972403e+01,-2.224965600170563448e+03
2.131999999999972317e+01,-2.224970775122401847e+03
2.135999999999972232e+01,-2.224975164491725536e+03
2.139999999999972147e+01,-2.224978888959846245e+03
2.143999999999972061e+01,-2.224982050379170687e+03
2.147999999999971976e+01,-2.224984734770125669e+03
2.151999999999971891e+01,-2.224987014828962401e+03
2.155999999999971806e+01,-2.224988952028815675e+03
2.159999999999971720e+01,-2.224990598381783457e+03
2.163999999999971635e+01,-2.224991997918344623e+03
2.167999999999971550e+01,-2.224993187930744625e+03
2.171999999999971465e+01,-2.224994200018782522e+03
2.175999999999971379e+01,-2.224995060970416034e+03
2.179999999999971294e+01,-2.224995793503759614e+03
2.183999999999971209e+01,-2.224996416892763136e+03
2.187999999999971124e+01,-2.224996947495168570e+03
2.191999999999971038e+01,-2.224997399198447965e+03
2.195999999999970953e+01,-2.224997783796548902e+03
2.199999999999970868e+01,-2.224998111308447278e+03
2.203999999999970782e+01,-2.224998390247663792e+03
2.207999999999970697e+01,-2.224998627850342473e+03
2.211999999999970612e+01,-2.224998830268385973e+03
