t,Energy,DissipationProxy,DeltaIntU,HalfDeltaIntPhi,misfit
28.55999999999957,15105.94255094199,-79.67455613938331,570.402121866904,570.4021218656453,1.2587406672537327e-09
28.599999999999568,15105.142921521361,-79.74234694029697,571.3712751768253,571.3712751755156,1.3096723705530167e-09
28.639999999999567,15104.34315003339,-79.8101733199889,572.3406582850657,572.3406582839125,1.153239281848073e-09
28.679999999999566,15103.543236905545,-79.8780296381872,573.3102680600132,573.3102680586017,1.4115357771515846e-09
28.719999999999565,15102.743182482312,-79.94591007927285,574.2801013644275,574.2801013631433,1.2842065189033747e-09
28.759999999999565,15101.942987026983,-80.01380866852637,575.2501550654197,575.2501550640773,1.342414179816842e-09
28.799999999999564,15101.1426507225,-80.08171928874852,576.2204260389299,576.2204260377366,1.1932570487260818e-09
28.839999999999563,15100.342173671052,-80.14963569721056,577.1909111790228,577.1909111778041,1.2187229003757238e-09
28.879999999999562,15099.541555894715,-80.2175515428817,578.1616074030389,578.1616074017657,1.2732925824820995e-09
28.91999999999956,15098.740797338032,-80.2854603838876,579.1325116599037,579.1325116584449,1.4588295016437769e-09
28.95999999999956,15097.93989786756,-80.35335570515461,580.1036209361409,580.1036209347621,1.3787939678877592e-09
28.99999999999956,15097.138857275559,-80.42123093618787,581.0749322632182,581.0749322619704,1.2478267308324575e-09
29.03999999999956,15096.33767527796,-80.48907946893648,582.0464427244078,582.0464427230581,1.3496901374310255e-09
29.079999999999558,15095.536351520564,-80.55689467568766,583.0181494598619,583.018149458323,1.5388650353997946e-09
29.119999999999557,15094.734885578577,-80.62466992696618,583.9900496742011,583.9900496729715,1.229636836796999e-09
29.159999999999556,15093.933276959302,-80.69239860935814,584.9621406426268,584.9621406412407,1.3860699255019426e-09
29.199999999999555,15093.131525104058,-80.76007414323733,585.9344197156024,585.9344197144201,1.1823431123048067e-09
29.239999999999554,15092.329629392892,-80.82769000034035,586.9068843268578,586.9068843254317,1.4260876923799515e-09
29.279999999999553,15091.527589143647,-80.89523972112619,587.8795319955898,587.8795319941055,1.4842953532934189e-09
